,Well,MaxOD_Value
0,B2,0.9085962061817131
1,B3,0.6690678624635991
2,B4,0.9386926305008931
3,B5,0.8867194397112123
4,B6,0.7344716859324251
5,B7,0.7384750369333031
6,B8,0.76459519374503
7,B9,0.8799174487304051
8,B10,0.8030734140569851
9,B11,0.7073186154442
10,C2,0.7580612548441331
11,C3,1.1617325112162389
12,C4,0.8878454729129791
13,C5,0.9909699844169692
14,C6,0.9382212376566761
15,C7,1.001594679533029
16,C8,0.8931462394314521
17,C9,0.7365880970520684
18,C10,1.0989496061604689
19,C11,0.7012447632345991
20,D2,1.250266419244899
21,D3,0.712163906502255
22,D4,0.749523887099594
23,D5,1.065014141300509
24,D6,0.7282747000890201
25,D7,1.013688686774709
26,D8,0.9300298683388101
27,D9,0.876727470701776
28,D10,0.831952881219531
29,D11,1.1352151618504889
30,E2,0.8975407000374528
31,E3,0.7541347723121791
32,E4,0.8540388870289467
33,E5,0.699914776802743
34,E6,1.252644431576409
35,E7,0.8257188513772241
36,E8,0.880027628823639
37,E9,0.7494490536782153
38,E10,0.726475359499779
39,E11,0.9689601319961426
40,F2,1.149901235119399
41,F3,1.203052457609809
42,F4,1.008729852681629
43,F5,1.035541923932989
44,F6,1.007921627468049
45,F7,0.9998858346973091
46,F8,0.8338187250711501
47,F9,1.0681346850180489
48,F10,0.7352409933243311
49,F11,0.8447094032754661
50,G2,0.929003807908591
51,G3,0.8068199979430695
52,G4,1.000355316234119
53,G5,0.7735465590743771
54,G6,1.007214433681289
55,G7,0.9219824899177621
56,G8,0.727102825918671
57,G9,0.899827127593225
58,G10,1.053781692267659
59,G11,1.025944833157029
